ticker,archetype,direction,alarm_lead,alarm_feature,ramp_slope,max_pre_density,explosion_density,explosion_energy,confirmation_decay,n_active_at_t0,price
QQQ,HH,TOP,5.0,kf_price_filt_vel,-0.3879,6,0,0.0,0.2,0,175.5800018310547
QQQ,LH,TOP,6.0,kf_price_filt_vel,-0.1333,2,0,0.0,-0.2,0,174.4600067138672
QQQ,LL,BOTTOM,3.0,sigma_tide,0.0485,3,1,4.94,-0.5,1,162.05999755859375
QQQ,LL,BOTTOM,1.0,sigma_tide,0.0545,3,2,10.16,-0.1,2,159.16000366210938
QQQ,HL,BOTTOM,1.0,sigma_tide,0.103,3,1,5.05,-0.1,1,160.3699951171875
QQQ,LH,TOP,3.0,kf_price_pred_val,-0.097,2,0,0.0,-0.4,0,172.3300018310547
QQQ,LH,TOP,4.0,kf_price_pred_val,-0.1697,2,2,13.2,-0.1,2,165.72000122070312
QQQ,LL,BOTTOM,1.0,vwap_sigma_tide,0.5455,6,7,45.04,-1.0,7,143.5
QQQ,HH,TOP,3.0,rsi_value,0.0182,2,0,0.0,0.0,0,188.11000061035156
QQQ,HH,TOP,4.0,rsi_value,-0.0424,2,0,0.0,0.0,0,191.11000061035156
QQQ,HL,BOTTOM,,,0.0,0,3,14.78,0.0,3,170.1199951171875
QQQ,HL,BOTTOM,1.0,rsi_value,0.1636,3,0,0.0,0.0,0,174.91000366210938
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,193.3000030517578
QQQ,HH,TOP,,,0.0,0,0,0.0,0.2,0,195.2899932861328
QQQ,HL,BOTTOM,1.0,vwap_sigma_wave,0.0545,1,4,18.92,-0.2,4,180.72999572753906
QQQ,HL,BOTTOM,1.0,kf_price_pred_val,0.2606,4,1,4.21,0.0,1,183.25999450683594
QQQ,HH,TOP,3.0,sigma_tide,0.0303,1,0,0.0,0.7,0,234.72999572753906
QQQ,HH,TOP,4.0,sigma_tide,0.0182,1,0,0.0,0.4,0,236.97999572753906
QQQ,LH,TOP,5.0,sigma_tide,0.0061,1,0,0.0,0.4,0,234.77999877929688
QQQ,HL,BOTTOM,1.0,kf_price_pred_val,0.1939,3,1,5.49,-0.2,1,216.47999572753906
QQQ,LL,BOTTOM,1.0,kf_rsi_pred_val,0.1758,3,3,19.56,-0.2,3,205.63999938964844
QQQ,HL,BOTTOM,1.0,kf_rsi_pred_val,0.3212,3,2,12.81,-0.1,2,205.8000030517578
QQQ,LH,TOP,1.0,kf_price_filt_vel,0.3515,3,0,0.0,1.3,0,209.47999572753906
QQQ,HH,TOP,2.0,kf_price_filt_vel,0.1818,3,3,15.08,1.3,3,218.22000122070312
QQQ,LH,TOP,1.0,kf_price_pred_val,0.1758,3,1,4.25,1.6,1,211.58999633789062
QQQ,LL,BOTTOM,1.0,kf_conjugation_pred_val,-0.0848,3,10,97.33,1.7,10,193.57000732421875
QQQ,HL,BOTTOM,1.0,kf_price_pred_val,0.4182,10,5,32.6,0.6,5,204.11000061035156
QQQ,LH,TOP,1.0,kf_conjugation_pred_val,0.497,10,6,39.92,-1.2,6,195.22000122070312
QQQ,LL,BOTTOM,1.0,kf_conjugation_pred_val,0.5273,10,12,152.44,-1.2,12,177.32000732421875
QQQ,HL,BOTTOM,1.0,kf_price_pred_val,0.9576,12,9,99.59,-1.5,9,192.33999633789062
QQQ,LL,BOTTOM,1.0,kf_price_filt_vel,1.0485,12,12,153.88,-0.6,12,169.3000030517578
QQQ,HL,BOTTOM,1.0,kf_price_pred_val,1.2848,12,9,110.13,0.6,9,182.13999938964844
QQQ,LH,TOP,1.0,kf_price_filt_vel,1.0485,12,6,76.6,0.3,6,176.60000610351562
QQQ,LL,BOTTOM,1.0,conj_wave_tide,-0.2121,12,6,75.04,-1.0,6,170.4600067138672
QQQ,HL,BOTTOM,1.0,conj_wave_tide,-0.2,12,9,112.34,-0.8,9,183.66000366210938
QQQ,HH,TOP,1.0,conj_wave_tide,-0.4,12,4,24.38,0.4,4,192.0399932861328
QQQ,LH,TOP,1.0,conj_wave_tide,-0.2545,9,3,14.12,-0.1,3,190.39999389648438
QQQ,LL,BOTTOM,1.0,conj_wave_tide,-0.2667,9,5,38.38,-0.0,5,182.30999755859375
QQQ,HL,BOTTOM,1.0,kf_price_filt_vel,-0.297,9,3,14.06,-0.3,3,186.00999450683594
QQQ,HH,TOP,,,0.0,0,2,8.89,-0.4,2,299.9200134277344
QQQ,HH,TOP,1.0,rsi_value,0.1091,2,2,10.16,-0.7,2,302.760009765625
QQQ,LH,TOP,1.0,rsi_value,0.1939,2,3,26.36,-0.5,3,287.4100036621094
QQQ,HL,BOTTOM,10.0,kf_price_pred_val,-0.1636,3,0,0.0,-0.4,0,272.4800109863281
QQQ,LL,BOTTOM,,,0.0,0,1,4.22,-0.6,1,264.1600036621094
QQQ,HL,BOTTOM,1.0,kf_conjugation_pred_val,0.0545,1,2,8.97,-0.4,2,265.3900146484375
QQQ,HH,TOP,,,0.0,0,1,4.35,0.0,1,294.5299987792969
QQQ,LH,TOP,1.0,kf_price_pred_val,0.0545,1,0,0.0,0.0,0,294.5199890136719
QQQ,HL,BOTTOM,1.0,kf_price_pred_val,0.0545,1,0,0.0,0.5,0,276.3900146484375
QQQ,LL,BOTTOM,2.0,kf_price_pred_val,0.0424,1,0,0.0,0.1,0,269.3800048828125
QQQ,HH,TOP,1.0,vwap_spread_tide_current,0.2364,2,2,8.21,-0.0,2,334.5799865722656
QQQ,HH,TOP,1.0,vwap_spread_tide_current,0.2364,2,1,4.19,-0.3,1,336.45001220703125
QQQ,HL,BOTTOM,1.0,d_tide_slope,0.1939,3,2,10.19,-0.7,2,299.94000244140625
QQQ,HL,BOTTOM,1.0,sigma_tide,0.2727,3,3,15.64,-0.2,3,311.7699890136719
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,341.6099853515625
QQQ,HH,TOP,,,0.0,0,0,0.0,0.0,0,342.010009765625
QQQ,HL,BOTTOM,1.0,vwap_sigma_wave,0.0545,1,0,0.0,0.0,0,325.30999755859375
QQQ,LL,BOTTOM,2.0,vwap_sigma_wave,0.0424,1,0,0.0,0.0,0,316.8900146484375
QQQ,HL,BOTTOM,3.0,vwap_sigma_wave,0.0303,1,0,0.0,0.0,0,319.3399963378906
QQQ,HH,TOP,9.0,vwap_sigma_wave,-0.097,1,0,0.0,0.0,0,382.1099853515625
QQQ,LH,TOP,10.0,vwap_sigma_wave,-0.0545,1,0,0.0,0.0,0,380.7799987792969
QQQ,HL,BOTTOM,2.0,kf_rsi_pred_val,0.0424,1,2,8.58,0.0,2,352.6199951171875
QQQ,HL,BOTTOM,1.0,rsi_value,0.1394,2,0,0.0,0.0,0,357.3800048828125
QQQ,HH,TOP,8.0,kf_rsi_pred_val,-0.2242,2,0,0.0,0.0,0,401.75
QQQ,HH,TOP,9.0,kf_rsi_pred_val,-0.1515,2,0,0.0,0.0,0,403.989990234375
QQQ,HL,BOTTOM,9.0,kf_price_filt_vel,-0.0848,2,0,0.0,0.0,0,380.69000244140625
QQQ,HL,BOTTOM,10.0,kf_price_filt_vel,-0.1091,2,0,0.0,0.0,0,389.2099914550781
QQQ,LH,TOP,,,0.0,0,0,0.0,0.0,0,403.4800109863281
QQQ,LH,TOP,,,0.0,0,0,0.0,0.0,0,401.6099853515625
QQQ,LL,BOTTOM,1.0,sigma_tide,0.7939,7,7,44.08,-1.9,7,344.57000732421875
QQQ,LL,BOTTOM,1.0,sigma_tide,0.897,7,7,46.94,-1.0,7,341.1000061035156
QQQ,HL,BOTTOM,1.0,sigma_tide,0.9152,7,6,35.34,-0.7,6,351.79998779296875
QQQ,LH,TOP,1.0,kf_price_pred_val,0.6,7,1,4.39,-0.3,1,365.5199890136719
QQQ,HH,TOP,1.0,conj_wave_tide,0.1939,7,0,0.0,-0.9,0,368.489990234375
QQQ,LH,TOP,2.0,conj_wave_tide,-0.2545,7,4,28.7,-0.3,4,353.54998779296875
QQQ,LL,BOTTOM,1.0,sigma_tide,0.0242,4,1,5.35,-0.7,1,338.0799865722656
QQQ,LL,BOTTOM,1.0,sigma_tide,0.0485,4,2,11.53,-0.6,2,329.4200134277344
QQQ,HL,BOTTOM,1.0,sigma_tide,0.0606,4,3,14.06,0.0,3,340.489990234375
QQQ,LH,TOP,3.0,kf_price_filt_vel,0.0545,3,0,0.0,0.6,0,341.489990234375
QQQ,HH,TOP,4.0,kf_price_filt_vel,0.0121,3,0,0.0,0.5,0,347.2200012207031
QQQ,LH,TOP,5.0,kf_price_filt_vel,-0.0848,3,0,0.0,-0.2,0,342.260009765625
QQQ,LL,BOTTOM,1.0,sigma_tide,0.1576,4,2,9.47,-0.3,2,318.1700134277344
QQQ,HL,BOTTOM,1.0,sigma_tide,0.1697,4,0,0.0,-0.6,0,328.1499938964844
QQQ,HH,TOP,8.0,kf_price_pred_val,-0.2,3,2,9.82,0.1,2,364.9100036621094
QQQ,HH,TOP,1.0,d_current_slope,-0.0182,3,2,11.82,-0.3,2,371.19000244140625
QQQ,LH,TOP,1.0,d_current_slope,0.0303,3,2,12.14,-0.5,2,367.0899963378906
QQQ,LL,BOTTOM,1.0,vwap_sigma_tide,0.2667,3,3,18.88,0.1,3,328.010009765625
QQQ,LL,BOTTOM,1.0,kf_price_filt_vel,0.3576,3,3,14.28,-0.1,3,313.25
QQQ,LH,TOP,1.0,vwap_sigma_tide,0.3758,3,2,8.87,-0.0,2,318.82000732421875
QQQ,HH,TOP,1.0,vwap_sigma_tide,0.3152,3,3,12.38,0.7,3,329.6000061035156
QQQ,LH,TOP,1.0,kf_price_pred_val,0.2848,3,3,16.13,1.5,3,313.0
QQQ,LL,BOTTOM,1.0,vwap_sigma_tide,-0.0061,5,6,30.51,-0.7,6,291.8399963378906
QQQ,LL,BOTTOM,1.0,vwap_sigma_tide,0.1939,6,8,39.44,-0.3,8,291.1499938964844
QQQ,HL,BOTTOM,1.0,vwap_sigma_tide,0.4667,8,8,45.69,-0.1,8,301.94000244140625
QQQ,LH,TOP,1.0,kf_price_filt_vel,0.6788,8,6,27.78,-0.5,6,298.44000244140625
QQQ,HH,TOP,1.0,vwap_sigma_tide,0.6545,8,3,13.84,-1.4,3,306.1700134277344
QQQ,LH,TOP,1.0,vwap_sigma_tide,0.4182,8,7,36.72,-1.0,7,291.1400146484375
QQQ,LL,BOTTOM,1.0,vwap_sigma_tide,0.0424,8,2,10.6,-0.0,2,293.4800109863281
QQQ,LL,BOTTOM,1.0,vwap_sigma_tide,-0.1818,8,2,11.31,-0.3,2,287.239990234375
QQQ,HL,BOTTOM,1.0,vwap_sigma_tide,-0.5697,8,2,10.61,-0.5,2,291.260009765625
QQQ,HH,TOP,1.0,fear_level,-0.3939,7,1,4.71,0.1,1,306.0
QQQ,HH,TOP,1.0,fear_level,-0.5394,7,1,4.71,0.6,1,314.3800048828125
QQQ,LH,TOP,1.0,fear_level,-0.3939,6,0,0.0,1.2,0,306.20001220703125
QQQ,LL,BOTTOM,1.0,vwap_sigma_tide,0.5515,6,5,33.02,-0.3,5,282.79998779296875
QQQ,LL,BOTTOM,1.0,kf_price_filt_vel,0.6121,6,4,20.96,-0.4,4,271.3900146484375
QQQ,HL,BOTTOM,1.0,vwap_sigma_tide,0.5697,6,4,20.51,-0.4,4,274.69000244140625
QQQ,HH,TOP,1.0,conj_wave_tide,0.0242,2,0,0.0,0.2,0,333.05999755859375
QQQ,LH,TOP,2.0,conj_wave_tide,-0.0121,2,0,0.0,0.1,0,332.2799987792969
QQQ,HL,BOTTOM,1.0,fear_level,0.1152,2,1,4.71,1.0,1,293.04998779296875
QQQ,HL,BOTTOM,1.0,fear_level,0.1273,2,1,4.71,0.5,1,298.9700012207031
QQQ,LH,TOP,1.0,fear_level,-0.0727,2,1,4.71,-1.0,1,310.739990234375
QQQ,LH,TOP,1.0,fear_level,-0.097,2,6,42.47,-0.0,6,293.70001220703125
QQQ,LL,BOTTOM,1.0,fear_level,0.3758,5,3,14.79,-0.8,3,271.8699951171875
QQQ,LL,BOTTOM,1.0,current_accel,0.3152,5,5,22.71,0.7,5,267.260009765625
QQQ,LH,TOP,1.0,fear_level,0.3394,5,1,4.71,0.5,1,273.5299987792969
QQQ,HH,TOP,1.0,fear_level,0.097,5,4,20.09,0.9,4,282.1300048828125
QQQ,LH,TOP,1.0,kf_price_filt_vel,0.0182,5,1,4.71,0.4,1,281.9800109863281
