feature,scale_pct,ticker,n_total,n_near,n_far,kl_near_vs_far,kl_near_to_far,kl_far_to_near,cohens_d,abs_cohens_d,overlap,mann_whitney_p,rank_biserial_r,near_mean,near_std,near_median,far_mean,far_std,far_median,lift_max,lift_lo,lift_hi,prec_lo,prec_hi,base_rate,selectivity_5v3,is_significant,kl_near_vs_far_rank,abs_cohens_d_rank,lift_max_rank,overlap_inv_rank,composite_score
vwap_current,5,UNIVERSAL,91252,25542,42298,0.1397,0.1595,0.1199,-0.1826,0.1826,0.8177,0.0000,0.1757,106.6459,115.7765,76.2400,128.5020,122.0366,96.8500,2.3538,2.3538,0.8991,0.6030,0.2303,0.2799,-0.1023,False,0.7565,0.6638,0.8551,0.7072,0.7481
reg_value_wave,5,UNIVERSAL,91252,25542,42298,0.1312,0.1506,0.1118,-0.2068,0.2068,0.8229,0.0000,0.1919,106.6360,116.5302,75.4800,131.9871,126.0972,99.0000,2.3733,2.3733,0.8723,0.6088,0.2238,0.2799,-0.1163,True,0.7333,0.6928,0.8638,0.6841,0.7459
vwap_sigma_wave,7,UNIVERSAL,91252,16805,56142,0.0988,0.1037,0.0939,-0.4258,0.4258,0.8020,0.0000,0.2299,-0.0627,1.4306,-0.1681,0.5043,1.3004,0.7527,1.7906,1.7906,0.9084,0.3088,0.1567,0.1842,0.0000,True,0.6203,0.9188,0.6986,0.7681,0.7441
vwap_wave,7,UNIVERSAL,91252,16805,56142,0.1278,0.1318,0.1237,-0.1802,0.1802,0.8285,0.0000,0.1679,105.1962,115.5753,74.9200,127.1209,123.4094,95.2850,2.5728,2.5728,0.8387,0.4309,0.1404,0.1842,0.0000,False,0.7188,0.6580,0.9101,0.6609,0.7399
reg_value_current,7,UNIVERSAL,91252,16805,56142,0.1186,0.1275,0.1098,-0.1847,0.1847,0.8288,0.0000,0.1724,105.5254,116.5431,74.7600,128.1939,124.5297,95.7000,2.5890,2.5890,0.8487,0.4325,0.1418,0.1842,0.0000,False,0.6928,0.6696,0.9217,0.6580,0.7372
sigma_tide,3,UNIVERSAL,91252,42076,22946,0.1199,0.1362,0.1036,-0.4336,0.4336,0.8122,0.0000,0.2394,-0.1900,1.4968,-0.1508,0.4196,1.2212,0.4766,1.6242,1.6242,0.9763,0.7144,0.4294,0.4611,0.0000,True,0.6986,0.9246,0.5942,0.7362,0.7365
tide_slope,7,UNIVERSAL,91252,16805,56142,0.1183,0.1358,0.1008,-0.1732,0.1732,0.8211,0.0000,0.0722,0.0291,0.1431,0.0364,0.0464,0.0826,0.0446,2.5924,2.5924,1.9720,0.4057,0.3086,0.1842,0.0000,False,0.6870,0.6435,0.9246,0.6899,0.7361
vwap_current,7,UNIVERSAL,91252,16805,56142,0.1293,0.1334,0.1251,-0.1697,0.1697,0.8268,0.0000,0.1603,105.2105,114.9729,75.0500,125.5709,121.4416,94.2250,2.5536,2.5536,0.8915,0.4281,0.1495,0.1842,0.0000,False,0.7246,0.6319,0.9043,0.6725,0.7359
channel_sentiment,5,UNIVERSAL,91252,25542,42298,0.1058,0.1114,0.1003,-0.3102,0.3102,0.8151,0.0000,0.1621,-0.0868,0.4793,-0.2058,0.0448,0.3875,0.1678,1.9154,1.9154,1.3198,0.4927,0.3395,0.2799,-0.1064,True,0.6522,0.8145,0.7594,0.7188,0.7329
kf_price_innov,5,UNIVERSAL,91252,25542,42298,0.2018,0.2373,0.1663,0.0050,0.0050,0.7645,0.0067,0.0124,0.0164,3.5764,-0.0661,0.0038,1.5381,-0.0223,2.6118,2.6041,2.6118,0.5943,0.5961,0.2799,-0.0017,False,0.9420,0.1217,0.9333,0.9217,0.7307
