station,dim,n,mu,sigma,med,sigma_mad,sigma_iqr,ratio_sig_mad,skew,kurt_excess,alpha_upper,alpha_lower,p_mu_dict,p_sig_dict,p_thresh_3s_up,p_thresh_3s_lo,emp_p0135,emp_p99865,emp_p0228,emp_p9772,ovf_param_up,ovf_param_lo,ovf_param_tot,ovf_emp_up,ovf_emp_lo,ovf_emp_tot,ovf_mad_up_3s,ovf_mad_lo_3s,ovf_mad_tot_3s,ovf_mad_up_4s,ovf_mad_lo_4s,ovf_mad_tot_4s,ovf_mad_up_5s,ovf_mad_lo_5s,ovf_mad_tot_5s,z_mad_at_p99865,z_mad_at_p0135
fg,d2,3900,0.000878388121887821,9.00824137935935,0.2571428571428598,7.794240000000004,7.910621624483747,1.1557562224616313,-0.38701581282421693,1.176442824054103,4.226967506467695,3.2700498342946904,-0.0119,8.9751,26.9134,-26.9372,-35.02524690368379,28.47269999999935,-20.600617500000002,17.0,8,30,38,6,6,12,13,54,67,3,16,19,0,3,3,3.6200523903365145,-4.5267261158017496
fg,d3,8453,0.7478035887933594,0.400164990035667,1.0,0.0,0.4721989802795715,,-0.4384606973223366,-0.3448699487694271,3.6717596939392,69.22556745704237,0.4525,0.4315,1.7469999999999999,-0.842,0.0,2.1058930485995315,0.0,1.3693063937641328,52,0,52,12,0,12,0,0,0,0,0,0,0,0,0,,
sv5_turbulence,d1,6937,7.052835127961892,3.926313311284625,5.977030106071774,3.0609756234553314,3.385419859173417,1.2826999604957559,1.376941870553908,2.0212225158501775,5.6622249701510174,2.998822140726333,7.0381,3.9006,18.7399,-4.663699999999999,1.6563437332116884,23.750639549873146,2.299644117858338,17.443133517973617,112,0,112,10,10,20,332,0,332,128,0,128,42,0,42,5.806517800275041,-1.4115389680832382
sv5_turbulence,d2,6930,0.004954181546463683,2.533179370737252,-0.02055727091224613,1.3107561640960073,1.3137528560302747,1.9326091611282383,-0.3034236154534564,6.250726444318195,2.6069441490790832,2.1764112891252863,0.0066,2.5386,7.6224,-7.6092,-13.799276930551581,11.539442072269884,-5.9686932885996145,5.733445225275098,72,82,154,10,10,20,372,321,693,212,199,411,109,125,234,8.819336242568614,-10.51203880406097
sv5_turbulence,d3,8453,0.5016390203060445,0.5233240590824926,0.27769472724106575,0.3827366508259677,0.6945439026069999,1.3673215197790156,1.143086047430847,0.9423981716870897,4.347161028465899,279.4386531393094,0.3924,0.5172,1.9440000000000002,-1.1592,0.0,2.4831580100529758,0.0019433182738467945,1.9037774287638858,174,0,174,12,0,12,464,0,464,241,0,241,84,0,84,5.762351941086367,-0.7255503925265181
skew,d1,8448,123.85735085227273,11.802955728522035,120.46,8.99938199999999,10.363232023721288,1.3115295837560899,1.2258691214398396,1.3133736848306352,21.833220454157793,1.2285194519144116,132.1308,11.9337,167.93189999999998,96.3297,105.8382415,172.15548150000015,109.1,153.70153749999997,29,0,29,12,12,24,441,0,441,128,0,128,43,0,43,5.744336833351469,-1.6247513995961071
skew,d2,8442,0.009488272921108747,4.252008488513692,-0.010000000000005116,3.0393300000000165,3.046701260192735,1.398995334009031,-0.12507176828762992,3.9919476599173755,2.7537443119347143,2.756993230429841,0.0066,5.3562,16.0752,-16.062,-19.446743999999992,18.328603999999608,-9.030000000000001,9.22999999999999,24,40,64,12,12,24,200,190,390,90,87,177,35,44,79,6.033765336439121,-6.395075230396134
skew,d3,8453,0.6052898204343281,0.5058727494856673,0.4647273719910562,0.43963936467014086,0.4874421322036445,1.1506538998508948,1.19056959200765,1.143061098921744,5.735139671454861,47.192634060219184,0.5709,0.4866,2.0307,-0.8889,0.0,2.5435906364295695,0.018561057550760717,1.9269715588782195,137,0,137,12,0,12,290,0,290,73,0,73,5,0,5,4.728564890903875,-1.0570649703757504
credit,d1,4869,0.624270800189573,0.05037733641570558,0.6205269664944254,0.03972825838234513,0.03981016923625048,1.2680479453912534,0.2674791880741412,0.3662282563945034,107.53654438781969,33.41278339724117,0.6241,0.0502,0.7746999999999999,0.4735,0.4638692277307729,0.7467365707342127,0.525625956982469,0.7314890392831231,0,18,18,7,7,14,31,59,90,0,5,5,0,0,0,3.1768219745538535,-3.9432319749830707
credit,d2,4862,6.960524116106327e-05,0.006359381804888999,0.0002852129720360974,0.004221916508409605,0.004235668367248141,1.5062784382926075,-0.6595154692284368,13.042896769186807,2.450183494133556,2.3586084611741196,0.0001,0.0064,0.0193,-0.019100000000000002,-0.040336051356644934,0.03280641189315992,-0.012972280726462535,0.01196330027173631,39,39,78,7,7,14,97,127,224,52,60,112,30,35,65,7.702946956990997,-9.621522417074763
credit,d3,8453,0.73172893207344,0.4008337456539495,1.0,0.257241284344831,0.47533213020853077,1.5582014631704035,-0.07637049380503032,-0.09814289985190383,4.3985255600178705,31.31631517577359,0.5344,0.4325,1.8318999999999999,-0.7630999999999999,0.0011549588267502707,2.246476628516856,0.03030044451682896,1.4599274528204726,60,0,60,12,12,24,70,1383,1453,31,0,31,11,0,11,4.84555436617226,-3.8829111109331174
yield_curve,d1,8446,1.4474595431943196,1.2058855355917204,1.4654993893737793,1.3803005661985337,1.3914011656227292,0.8736398181106545,-0.13917564935465612,-0.6773718094050256,22.070405001839504,2.009594961474659,1.3942,1.2675,5.1967,-2.4083,-1.5543970946531298,3.7775992298527648,-1.056876416392326,3.5199999927883967,0,0,0,12,12,24,0,0,0,0,0,0,0,0,0,1.6750698341352614,-2.187854267381751
yield_curve,d2,8443,-0.0009003908820842997,0.11163065548523002,-0.005000007629393899,0.08747369409484704,0.08821329211552507,1.2761625839671271,0.4853071340986251,8.651461120270932,2.8378508352566523,2.971042093987513,-0.0001,0.1506,0.45170000000000005,-0.4519,-0.47381006283607485,0.6310661098708877,-0.20999985314750613,0.2209999803183078,30,20,50,12,12,24,122,91,213,59,36,95,33,20,53,7.271513156979516,-5.359440458732129
yield_curve,d3,8453,0.5013095419438036,0.41841535724272316,0.39934615968721104,0.36889954983319473,0.39339811670850555,1.1342257192558733,1.267995672890469,1.6802280714798252,5.0162143739151634,54.412599986851404,0.4868,0.4206,1.7486000000000002,-0.775,0.0,2.3395451761070096,0.009897652044246544,1.619850999678532,119,0,119,12,0,12,273,0,273,72,0,72,14,0,14,5.259423648787585,-1.0825336053345236
rotation,d1,6957,0.5305143405885381,2.4006046825074314,0.7227735489190023,2.7162347195506826,2.7394122965811185,0.8837986883933718,-0.2451018608849269,-0.42342076838605136,5.900790675345144,4.774202564576049,0.5301,2.4011,7.7334000000000005,-6.6732000000000005,-6.677358362041224,6.836464982505649,-4.314225506990264,4.652318133919794,1,10,11,10,10,20,0,4,4,0,0,0,0,0,0,2.2507964387547363,-2.724408114547755
rotation,d2,6953,0.0005996895982898071,0.6356897820751966,0.0,0.5214699906627758,0.5211824476915664,1.2190342559640877,0.05532550693979176,4.249401005360817,3.3325369882710154,3.199469819715722,0.0006,0.6358,1.908,-1.9068,-2.625893054738746,2.375621888820423,-1.3494658657783087,1.2943250660087264,36,40,76,10,10,20,80,91,171,21,28,49,6,11,17,4.555625311824875,-5.035559287699948
rotation,d3,8453,0.5937134606206611,0.4184396188334745,0.5225709261194428,0.5296751248339139,0.5705486979924029,0.7899929583528797,0.6182802960521672,0.07938983564424396,5.041331864977211,44.49114708227018,0.5065,0.4118,1.7419,-0.7289000000000001,0.000930774494803431,2.2160601118236167,0.02171801905047881,1.5024116270966512,84,0,84,12,12,24,21,0,21,1,0,1,0,0,0,3.1972224223955923,-0.9848303746342743
dxy,d1,8444,92.97759723180123,10.318791026715349,93.768,10.781467200000007,11.117123795404003,0.9570859731146186,0.21913089319281734,-0.4322405775725442,27.572500421345534,0.9708537348702293,97.4445,14.0207,139.5066,55.382400000000004,71.81237855,119.50417550000003,74.988626,116.07,0,0,0,12,12,24,0,0,0,0,0,0,0,0,0,2.387075434408409,-2.0364224128975676
dxy,d2,8441,0.002515105604631133,0.7731527780699597,0.005000000000009663,0.6745829999999974,0.6745737583395083,1.146119570267799,-0.12796810884471327,1.6967266179983076,3.530802266324742,3.520768274392793,-0.0044,0.8609,2.5783,-2.5871,-3.2803019999999936,2.742119999999997,-1.6098999999999997,1.6099999999999994,19,30,49,12,12,24,68,76,144,16,28,44,3,7,10,4.057499225447422,-4.870122727670303
dxy,d3,8453,0.449264218470234,0.47751889107490153,0.3080904709736467,0.4392614351839531,0.47437912374310215,1.0870949571863213,1.3461653196092855,1.6325189828615585,5.100862091717156,,0.4854,0.4207,1.7475,-0.7767,0.0,2.38024225362226,0.0,1.7337593512262528,182,0,182,12,0,12,257,0,257,71,0,71,4,0,4,4.717354214764702,-0.7013829266496503
bsi,d1,8446,56.92674746517986,20.83449952284346,60.0,21.794220000000003,22.238695329873977,0.9559644494202342,-0.5269495006970382,-0.40071833312869476,23.204042103692196,0.5368341821961947,56.6184,20.7608,118.9008,-5.663999999999994,0.9,96.03969999999973,10.3,89.7,0,0,0,12,11,23,0,0,0,0,0,0,0,0,0,1.6536356887284667,-2.711728155446719
bsi,d2,8441,0.0006785064242711634,15.377925108955624,0.0,12.75036,12.750185322461085,1.2060777192922885,0.03465938882890775,1.330827665471518,3.5777662293456807,3.641434478177905,0.0014,14.8147,44.445499999999996,-44.4427,-55.3818,57.12419999999984,-31.999000000000002,33.400000000000006,51,57,108,12,12,24,121,106,227,23,28,51,3,2,5,4.480202911917768,-4.3435479468814995
bsi,d3,8453,0.508749891491326,0.44669642411723837,0.3766718483107157,0.381660197706608,0.4271879315974327,1.170403481425185,1.2658884768846363,1.435072621263136,5.221657930147753,60.25766403012993,0.4936,0.4375,1.8061,-0.8189,0.0,2.335228057294229,0.010680823151628096,1.7016875290124538,127,0,127,12,0,12,321,0,321,88,0,88,19,0,19,5.1316752984787435,-0.9869298673902408
