date,ticker,ret_10d,macro_central,macro_final,confidence,final_close_pos,final_body_ratio
1999-03-12 14:30:00+00:00,AAPL,-0.7092079981136924,NONE,DOJI,1.1,0.157,0.554
1999-03-15 14:30:00+00:00,AAPL,0.8912086578206002,HANGING_MAN,NONE,1.1,0.273,0.595
1999-03-23 14:30:00+00:00,AAPL,11.235872480755301,BEARISH_ENGULFING,BEARISH_ENGULFING,1.375,0.246,0.431
2000-05-18 13:30:00+00:00,QQQ,10.855189835797601,NONE,GRAVESTONE_DOJI,1.0,0.356,0.453
2000-05-19 13:30:00+00:00,QQQ,13.771431135115773,NONE,SHOOTING_STAR,1.5,0.126,0.809
2000-06-02 13:30:00+00:00,AAPL,-2.8563703731455723,NONE,NONE,1.0,0.405,0.446
2000-06-06 13:30:00+00:00,AAPL,7.526844630556481,NONE,BULLISH_ENGULFING,0.6,0.436,0.406
2000-10-23 13:30:00+00:00,QQQ,-5.135212888377452,NONE,MORNING_STAR,0.6,0.837,0.132
2000-10-27 13:30:00+00:00,AAPL,-0.9421237725109394,THREE_BLACK_CROWS,THREE_BLACK_CROWS,1.1,0.185,0.707
2000-11-10 14:30:00+00:00,AAPL,-1.2549342202600402,THREE_BLACK_CROWS,BEARISH_ENGULFING,1.0,0.284,0.17
2000-11-13 14:30:00+00:00,AAPL,-9.984369587819524,NONE,BEARISH_ENGULFING,1.0,0.341,0.239
2000-11-13 14:30:00+00:00,QQQ,-10.735601772928748,MORNING_STAR,NONE,1.265,0.096,0.874
2000-11-17 14:30:00+00:00,AAPL,-10.851362295150144,THREE_BLACK_CROWS,NONE,1.1,0.053,0.132
2000-11-28 14:30:00+00:00,AAPL,-15.521997886765329,NONE,THREE_BLACK_CROWS,1.265,0.024,0.895
2000-12-05 14:30:00+00:00,AAPL,-4.923335882655622,BEARISH_ENGULFING,THREE_BLACK_CROWS,1.375,0.2,0.671
2000-12-08 14:30:00+00:00,QQQ,-16.484223807758106,NONE,NONE,1.0,0.511,0.353
2000-12-11 14:30:00+00:00,AAPL,-4.3157281452806515,NONE,NONE,1.1,0.2,0.574
2000-12-12 14:30:00+00:00,AAPL,-5.237959271263497,NONE,NONE,1.1,0.232,0.642
2000-12-19 14:30:00+00:00,AAPL,22.917286086759013,THREE_BLACK_CROWS,BEARISH_ENGULFING,1.265,0.014,0.936
2001-01-02 14:30:00+00:00,QQQ,19.3994976342076,NONE,THREE_BLACK_CROWS,1.265,0.045,0.833
2001-01-09 14:30:00+00:00,QQQ,18.621603711066932,BEARISH_ENGULFING,PIERCING_LINE,1.25,0.369,0.572
2001-03-23 14:30:00+00:00,SPY,-2.2011221406991894,NONE,NONE,1.0,0.327,0.491
2001-03-27 14:30:00+00:00,SPY,-0.38854108276221616,NONE,BULLISH_ENGULFING,0.6,0.535,0.447
2001-03-27 14:30:00+00:00,QQQ,-5.579786254936344,DRAGONFLY_DOJI,NONE,0.5,0.344,0.654
2001-04-02 13:30:00+00:00,SPY,4.258268751875347,NONE,NONE,1.0,0.497,0.419
2001-04-02 13:30:00+00:00,QQQ,9.961879881641016,NONE,NONE,1.1,0.012,0.671
2001-04-04 13:30:00+00:00,SPY,10.60835825484064,NONE,NONE,1.1,0.26,0.702
2001-04-06 13:30:00+00:00,SPY,7.020608232981601,BEARISH_MARUBOZU,NONE,1.25,0.496,0.232
2001-04-06 13:30:00+00:00,QQQ,22.212005855675194,NONE,NONE,1.1,0.264,0.502
2001-04-10 13:30:00+00:00,QQQ,6.455824383335306,NONE,NONE,1.0,0.606,0.07
2001-04-16 13:30:00+00:00,QQQ,14.712507401941114,NONE,NONE,1.0,0.657,0.318
2001-08-08 13:30:00+00:00,QQQ,-6.9382716049382775,NONE,DARK_CLOUD_COVER,1.1,0.254,0.418
2001-08-10 13:30:00+00:00,QQQ,-3.449292452830197,BEARISH_ENGULFING,NONE,1.375,0.22,0.411
2001-08-29 13:30:00+00:00,AAPL,-4.543157499330233,NONE,NONE,1.1,0.14,0.635
2001-08-31 13:30:00+00:00,AAPL,-15.384550502734943,DOJI,DRAGONFLY_DOJI,1.0,0.611,0.264
2001-08-31 13:30:00+00:00,QQQ,-23.257035654225863,NONE,NONE,1.1,0.148,0.666
2001-09-05 13:30:00+00:00,AAPL,-16.12683073971299,BEARISH_ENGULFING,DRAGONFLY_DOJI,1.25,0.629,0.104
2001-09-10 13:30:00+00:00,AAPL,-3.8675935451714465,EVENING_STAR,EVENING_STAR,1.1,0.189,0.324
2001-09-17 13:30:00+00:00,AAPL,-8.883333234828823,NONE,NONE,1.0,0.353,0.322
2001-09-17 13:30:00+00:00,QQQ,-9.491856472293108,NONE,BEARISH_MARUBOZU,1.265,0.012,0.805
2001-09-18 13:30:00+00:00,AAPL,-9.6096617265614,NONE,EVENING_STAR,1.1,0.154,0.465
2001-09-20 13:30:00+00:00,AAPL,6.17117547180055,NONE,NONE,1.1,0.047,0.611
2001-09-25 13:30:00+00:00,AAPL,0.5910180882446769,NONE,NONE,1.1,0.195,0.659
2001-10-09 13:30:00+00:00,AAPL,12.044252097491858,EVENING_STAR,BULLISH_ENGULFING,0.6,0.545,0.207
2002-05-09 13:30:00+00:00,QQQ,2.7461746056237466,TWEEZER_BOTTOM,DRAGONFLY_DOJI,1.0,0.632,0.367
2002-05-14 13:30:00+00:00,QQQ,-6.13762883253654,BEARISH_ENGULFING,NONE,1.25,0.859,0.064
2002-05-31 13:30:00+00:00,QQQ,-8.403531591048234,DRAGONFLY_DOJI,BEARISH_MARUBOZU,0.55,0.131,0.236
2002-06-04 13:30:00+00:00,QQQ,-1.6404888691401658,NONE,NONE,1.1,0.149,0.537
2002-06-21 13:30:00+00:00,AAPL,6.738625166070196,EVENING_STAR,THREE_BLACK_CROWS,1.265,0.009,0.982
2002-06-25 13:30:00+00:00,AAPL,2.297650355081205,NONE,NONE,1.265,0.067,0.871
2002-06-25 13:30:00+00:00,QQQ,-2.754648655246773,NONE,NONE,1.265,0.054,0.863
2002-07-18 13:30:00+00:00,AAPL,0.2435491340749092,NONE,BEARISH_ENGULFING,1.1,0.059,0.446
2002-07-29 13:30:00+00:00,AAPL,0.3011154310791951,NONE,NONE,1.1,0.244,0.615
2002-08-06 13:30:00+00:00,SPY,7.076413467646791,NONE,TWEEZER_TOP,1.0,0.57,0.376
2002-08-06 13:30:00+00:00,QQQ,7.917064001245137,NONE,NONE,1.1,0.233,0.696
2003-01-21 14:30:00+00:00,AAPL,4.173925551808466,NONE,EVENING_STAR,1.1,0.117,0.039
2005-05-02 13:30:00+00:00,AAPL,-2.525216620098459,INVERTED_HAMMER,NONE,1.1,0.264,0.654
2006-03-17 14:30:00+00:00,AAPL,-4.067030481357819,NONE,NONE,1.1,0.222,0.737
2006-03-20 14:30:00+00:00,AAPL,-2.996079042065614,NONE,NONE,1.1,0.155,0.766
2006-03-30 14:30:00+00:00,AAPL,4.862191267251588,BEARISH_MARUBOZU,NONE,1.25,0.49,0.125
2006-04-03 13:30:00+00:00,AAPL,6.433944113176321,DRAGONFLY_DOJI,NONE,0.5,0.48,0.301
2006-06-09 13:30:00+00:00,HD,-1.5306986633569981,NONE,NONE,1.1,0.162,0.633
2006-06-13 13:30:00+00:00,MSFT,5.691432798557483,THREE_BLACK_CROWS,NONE,1.1,0.02,0.648
2006-06-13 13:30:00+00:00,HD,0.47238874002042114,NONE,NONE,1.1,0.082,0.748
2006-06-15 13:30:00+00:00,HD,-2.4663983325236205,NONE,HAMMER,1.0,0.436,0.325
2006-06-16 13:30:00+00:00,HD,-3.1525098092274257,NONE,DOJI,1.0,0.285,0.521
