ticker,date,trend,layer,pattern,sentiment,entry_price,price_3d,ret_3d,price_5d,ret_5d,price_10d,ret_10d
TSLA,2021-10-28,MUY_ALCISTA,MACRO (Weekly),BULLISH_MARUBOZU,BULLISH,362.02,390.67,7.91,409.97,13.25,354.5,-2.08
TSLA,2021-10-28,MUY_ALCISTA,CONJUGATION,M[BULLISH_MARUBOZU] + m[MORNING_STAR],BULLISH,362.02,390.67,7.91,409.97,13.25,354.5,-2.08
TSLA,2021-10-29,MUY_ALCISTA,MACRO (Weekly),BULLISH_MARUBOZU,BULLISH,384.7,404.62,5.18,407.36,5.89,344.47,-10.46
TSLA,2021-11-01,MUY_ALCISTA,MACRO (Weekly),BULLISH_MARUBOZU,BULLISH,388.54,409.97,5.52,387.65,-0.23,337.8,-13.06
TSLA,2021-11-03,MUY_ALCISTA,MACRO (Weekly),BULLISH_MARUBOZU,BULLISH,412.35,387.65,-5.99,355.98,-13.67,363.0,-11.97
TSLA,2021-11-04,MUY_ALCISTA,MACRO (Weekly),BULLISH_MARUBOZU,BULLISH,410.4,341.17,-16.87,354.5,-13.62,365.46,-10.95
TSLA,2021-11-08,MUY_ALCISTA,MACRO (Weekly),GRAVESTONE_DOJI,BEARISH,385.77,354.5,-8.1,337.8,-12.44,385.62,-0.04
TSLA,2021-11-09,MUY_ALCISTA,MICRO (Daily),BEARISH_ENGULFING,BEARISH,333.78,344.47,3.2,351.58,5.33,369.68,10.76
TSLA,2021-11-09,MUY_ALCISTA,MACRO (Weekly),BEARISH_ENGULFING,BEARISH,333.78,344.47,3.2,351.58,5.33,369.68,10.76
TSLA,2021-11-09,MUY_ALCISTA,CONJUGATION,M[BEARISH_ENGULFING] + m[BEARISH_ENGULFING],BEARISH,333.78,344.47,3.2,351.58,5.33,369.68,10.76
TSLA,2021-11-10,MUY_ALCISTA,MACRO (Weekly),BEARISH_ENGULFING,BEARISH,365.91,337.8,-7.68,363.0,-0.8,372.0,1.66
TSLA,2021-11-11,MUY_ALCISTA,MACRO (Weekly),TWEEZER_TOP,BEARISH,347.99,351.58,1.03,365.46,5.02,360.64,3.64
TSLA,2021-11-15,MUY_ALCISTA,MACRO (Weekly),EVENING_STAR,BEARISH,332.6,365.46,9.88,385.62,15.94,381.59,14.73
TSLA,2021-11-16,MUY_ALCISTA,MICRO (Daily),MORNING_STAR,BULLISH,356.64,379.02,6.27,369.68,3.66,365.0,2.34
TSLA,2021-11-23,MUY_ALCISTA,MICRO (Daily),EVENING_STAR,BEARISH,357.77,379.0,5.93,365.0,2.02,356.32,-0.41
TSLA,2021-11-23,MUY_ALCISTA,MACRO (Weekly),INVERTED_HAMMER,BULLISH,362.49,379.0,4.55,365.0,0.69,356.32,-1.7
TSLA,2021-11-24,MUY_ALCISTA,MICRO (Daily),TWEEZER_BOTTOM,BULLISH,367.42,381.59,3.86,361.53,-1.6,334.6,-8.93
TSLA,2021-11-24,MUY_ALCISTA,MACRO (Weekly),GRAVESTONE_DOJI,BEARISH,365.56,381.59,4.38,361.53,-1.1,334.6,-8.47
TSLA,2021-11-30,MUY_ALCISTA,MICRO (Daily),DOJI,NEUTRAL,384.16,338.32,-11.93,350.58,-8.74,319.5,-16.83
TSLA,2021-12-01,MUY_ALCISTA,MICRO (Daily),EVENING_STAR,BEARISH,364.48,336.34,-7.72,356.32,-2.24,325.33,-10.74
TSLA,2021-12-03,MUY_ALCISTA,MICRO (Daily),THREE_BLACK_CROWS,BEARISH,331.47,356.32,7.5,339.01,2.28,310.86,-6.22
TSLA,2021-12-03,MUY_ALCISTA,MACRO (Weekly),EVENING_STAR,BEARISH,331.47,356.32,7.5,339.01,2.28,310.86,-6.22
TSLA,2021-12-03,MUY_ALCISTA,CONJUGATION,M[EVENING_STAR] + m[THREE_BLACK_CROWS],BEARISH,331.47,356.32,7.5,339.01,2.28,310.86,-6.22
TSLA,2021-12-06,MUY_ALCISTA,MACRO (Weekly),EVENING_STAR,BEARISH,347.04,334.6,-3.58,322.14,-7.18,299.98,-13.56
TSLA,2021-12-07,MUY_ALCISTA,MICRO (Daily),MORNING_STAR,BULLISH,352.22,339.01,-3.75,319.5,-9.29,312.84,-11.18
TSLA,2021-12-07,MUY_ALCISTA,MACRO (Weekly),EVENING_STAR,BEARISH,349.59,339.01,-3.03,319.5,-8.61,312.84,-10.51
TSLA,2021-12-08,MUY_ALCISTA,MACRO (Weekly),EVENING_STAR,BEARISH,351.54,322.14,-8.36,325.33,-7.46,336.29,-4.34
TSLA,2021-12-09,MUY_ALCISTA,MICRO (Daily),BEARISH_MARUBOZU,BEARISH,334.97,319.5,-4.62,308.97,-7.76,355.67,6.18
TSLA,2021-12-10,MUY_ALCISTA,MICRO (Daily),HAMMER,BULLISH,335.48,325.33,-3.03,310.86,-7.34,364.65,8.69
TSLA,2021-12-13,MUY_ALCISTA,MACRO (Weekly),THREE_BLACK_CROWS,BEARISH,313.79,308.97,-1.53,299.98,-4.4,362.82,15.63
TSLA,2021-12-14,MUY_ALCISTA,MACRO (Weekly),THREE_BLACK_CROWS,BEARISH,316.05,310.86,-1.64,312.84,-1.02,362.06,14.56
TSLA,2021-12-16,MUY_ALCISTA,MICRO (Daily),BEARISH_ENGULFING,BEARISH,303.2,312.84,3.18,355.67,17.3,352.26,16.18
TSLA,2021-12-16,MUY_ALCISTA,MACRO (Weekly),THREE_BLACK_CROWS,BEARISH,303.2,312.84,3.18,355.67,17.3,352.26,16.18
TSLA,2021-12-16,MUY_ALCISTA,CONJUGATION,M[THREE_BLACK_CROWS] + m[BEARISH_ENGULFING],BEARISH,303.2,312.84,3.18,355.67,17.3,352.26,16.18
TSLA,2021-12-22,MUY_ALCISTA,MACRO (Weekly),HAMMER,BULLISH,338.11,362.82,7.31,356.78,5.52,354.9,4.96
TSLA,2021-12-23,MUY_ALCISTA,MACRO (Weekly),BULLISH_ENGULFING,BULLISH,359.43,362.06,0.73,352.26,-2.0,342.32,-4.76
TSLA,2021-12-27,MUY_ALCISTA,MACRO (Weekly),BULLISH_ENGULFING,BULLISH,371.18,356.78,-3.88,399.93,7.74,352.71,-4.98
TSLA,2021-12-28,MUY_ALCISTA,MICRO (Daily),TWEEZER_TOP,BEARISH,364.88,352.26,-3.46,383.2,5.02,354.8,-2.76
TSLA,2021-12-29,MUY_ALCISTA,MACRO (Weekly),MORNING_STAR,BULLISH,355.19,399.93,12.6,362.71,2.12,368.74,3.81
TSLA,2021-12-30,MUY_ALCISTA,MACRO (Weekly),MORNING_STAR,BULLISH,358.73,383.2,6.82,354.9,-1.07,343.85,-4.15
TSLA,2021-12-31,MUY_ALCISTA,MICRO (Daily),BEARISH_ENGULFING,BEARISH,380.42,362.71,-4.66,342.32,-10.01,349.87,-8.03
TSLA,2021-12-31,MUY_ALCISTA,MACRO (Weekly),SHOOTING_STAR,BEARISH,380.42,362.71,-4.66,342.32,-10.01,349.87,-8.03
TSLA,2021-12-31,MUY_ALCISTA,CONJUGATION,M[SHOOTING_STAR] + m[BEARISH_ENGULFING],BEARISH,380.42,362.71,-4.66,342.32,-10.01,349.87,-8.03
TSLA,2022-01-05,MUY_ALCISTA,MACRO (Weekly),INVERTED_HAMMER,BULLISH,361.25,352.71,-2.36,368.74,2.07,332.09,-8.07
TSLA,2022-01-06,MUY_ALCISTA,MACRO (Weekly),GRAVESTONE_DOJI,BEARISH,357.76,354.8,-0.83,343.85,-3.89,314.63,-12.05
TSLA,2022-01-10,ALCISTA,MICRO (Daily),PIERCING_LINE,BULLISH,352.46,343.85,-2.44,343.5,-2.54,306.13,-13.14
TSLA,2022-01-12,HORIZONTAL,MACRO (Weekly),THREE_WHITE_SOLDIERS,BULLISH,372.66,343.5,-7.82,332.09,-10.89,276.37,-25.84
TSLA,2022-01-13,HORIZONTAL,MICRO (Daily),BEARISH_ENGULFING,BEARISH,338.67,331.88,-2.0,314.63,-7.1,282.12,-16.7
TSLA,2022-01-13,HORIZONTAL,MACRO (Weekly),EVENING_STAR,BEARISH,338.67,331.88,-2.0,314.63,-7.1,282.12,-16.7
TSLA,2022-01-13,HORIZONTAL,CONJUGATION,M[EVENING_STAR] + m[BEARISH_ENGULFING],BEARISH,338.67,331.88,-2.0,314.63,-7.1,282.12,-16.7
