date,ticker,ret_10d,signal,confidence,regime
2007-05-09 13:30:00+00:00,JPM,-1.7164735370852502,-1,0.25,BULL
2007-05-09 13:30:00+00:00,HON,0.2446726290445682,-1,0.5,BULL
2007-05-09 13:30:00+00:00,MRK,5.009950266307214,-1,0.5,BULL
2007-05-09 13:30:00+00:00,PG,1.5923413619338307,1,0.5,BULL
2007-05-10 13:30:00+00:00,AAPL,2.5144448742232943,-1,0.25,BULL
2007-05-10 13:30:00+00:00,AMZN,13.569402593999738,-1,0.5,BULL
2007-05-10 13:30:00+00:00,HON,-2.308378697817457,-1,0.5,BULL
2007-05-10 13:30:00+00:00,MRK,4.972267443618672,-1,0.25,BULL
2007-05-11 13:30:00+00:00,AAPL,3.483765109355539,-1,0.5,BULL
2007-05-11 13:30:00+00:00,AMZN,10.933100301000099,-1,0.5,BULL
2007-05-11 13:30:00+00:00,HON,-1.7347208525057274,-1,0.5,BULL
2007-05-11 13:30:00+00:00,MRK,3.1205004425925353,-1,0.5,BULL
2007-05-11 13:30:00+00:00,PG,1.9034232471743944,1,0.5,BULL
2007-05-14 13:30:00+00:00,AAPL,4.009383224491183,-1,0.5,BULL
2007-05-14 13:30:00+00:00,AMZN,13.136729222520117,-1,0.5,BULL
2007-05-14 13:30:00+00:00,HON,-2.3031413233353777,-1,0.5,BULL
2007-05-14 13:30:00+00:00,MRK,2.4362160159996686,-1,0.5,BULL
2007-05-14 13:30:00+00:00,PG,2.931885440755545,1,0.5,BULL
2007-05-15 13:30:00+00:00,AAPL,8.892348477407666,-1,0.25,BULL
2007-05-15 13:30:00+00:00,AMZN,13.882371996686604,-1,0.5,BULL
2007-05-15 13:30:00+00:00,HON,-0.5341314707916772,-1,0.5,BULL
2007-05-15 13:30:00+00:00,MCD,-2.323751590885137,-1,0.25,BULL
2007-05-15 13:30:00+00:00,MRK,-0.7064136983736571,-1,0.5,BULL
2007-05-15 13:30:00+00:00,PG,2.2418094475580497,1,0.47,BULL
2007-05-16 13:30:00+00:00,AAPL,12.817650834173866,-1,0.25,BULL
2007-05-16 13:30:00+00:00,AMZN,9.693796604791366,-1,0.5,BULL
2007-05-16 13:30:00+00:00,HON,-0.4452564531740354,-1,0.5,BULL
2007-05-16 13:30:00+00:00,MCD,-2.1789820425574224,-1,0.5,BULL
2007-05-16 13:30:00+00:00,MRK,-0.5781442051917026,-1,0.5,BULL
2007-05-17 13:30:00+00:00,AAPL,7.327053765877474,-1,0.5,BULL
2007-05-17 13:30:00+00:00,AMZN,9.584225496149038,-1,0.5,BULL
2007-05-17 13:30:00+00:00,HON,0.5919173458096587,-1,0.5,BULL
2007-05-17 13:30:00+00:00,MCD,-2.91539449152809,-1,0.5,BULL
2007-05-17 13:30:00+00:00,MRK,-0.9874677637107796,-1,0.25,BULL
2007-05-18 13:30:00+00:00,AAPL,9.751243246813797,-1,0.5,BULL
2007-05-18 13:30:00+00:00,AMZN,9.828753236220724,-1,0.5,BULL
2007-05-18 13:30:00+00:00,XOM,0.8357067498897636,-1,0.25,BULL
2007-05-18 13:30:00+00:00,HON,0.10588199608934012,-1,0.5,BULL
2007-05-18 13:30:00+00:00,MCD,-2.4138511651869874,-1,0.5,BULL
2007-05-18 13:30:00+00:00,MRK,-2.7237353471952273,-1,0.5,BULL
2007-05-21 13:30:00+00:00,AAPL,8.8812730876773,-1,0.5,BULL
2007-05-21 13:30:00+00:00,AMZN,7.258322896338802,-1,0.5,BULL
2007-05-21 13:30:00+00:00,XOM,0.860655350146071,-1,0.25,BULL
2007-05-21 13:30:00+00:00,HON,-0.3782657481871303,-1,0.5,BULL
2007-05-21 13:30:00+00:00,MCD,-2.573122832563768,-1,0.5,BULL
2007-05-21 13:30:00+00:00,MRK,-5.116760518119441,-1,0.5,BULL
2007-05-22 13:30:00+00:00,AAPL,8.208395807609884,-1,0.5,BULL
