layer,pattern,regime,n,delta_wr,delta_avg,pat_wr,base_wr
HYPER,DARK_CLOUD_COVER,MUY_ALCISTA,53,-10.165317712487521,-0.13450447293287515,41.509433962264154,51.674751674751676
HYPER,DOJI,BAJISTA,143,3.227143227143223,-0.02744701967858021,58.04195804195804,54.81481481481482
HYPER,DOJI,HORIZONTAL,141,-13.880577452010414,-1.3700185926541866,39.00709219858156,52.887669650591974
HYPER,DOJI,ALCISTA,172,-6.349784336562948,-0.18266839308592017,44.76744186046512,51.11722619702807
HYPER,DRAGONFLY_DOJI,MUY_BAJISTA,121,-12.23583944644205,-1.4162105147630384,46.28099173553719,58.51683118197924
HYPER,DRAGONFLY_DOJI,ALCISTA,183,-6.308483027629158,-0.20685652960868728,44.80874316939891,51.11722619702807
HYPER,DRAGONFLY_DOJI,MUY_ALCISTA,116,7.808006945937983,0.31575601554862803,59.48275862068966,51.674751674751676
HYPER,EVENING_STAR,MUY_BAJISTA,22,-17.60774027288833,1.0422180587458907,40.909090909090914,58.51683118197924
HYPER,EVENING_STAR,BAJISTA,139,3.4585664801492157,0.4138372787455305,58.27338129496403,54.81481481481482
HYPER,EVENING_STAR,HORIZONTAL,465,-5.575841693602726,-0.25019381243340255,47.31182795698925,52.887669650591974
HYPER,EVENING_STAR,MUY_ALCISTA,151,14.55041388816224,2.06265473569932,66.22516556291392,51.674751674751676
HYPER,GRAVESTONE_DOJI,MUY_BAJISTA,61,5.4175950475289625,-0.07880365409880441,63.934426229508205,58.51683118197924
HYPER,GRAVESTONE_DOJI,HORIZONTAL,113,-12.179705048822058,-1.0430990914811955,40.707964601769916,52.887669650591974
HYPER,GRAVESTONE_DOJI,ALCISTA,165,-7.480862560664434,-0.49398968760512774,43.63636363636363,51.11722619702807
HYPER,GRAVESTONE_DOJI,MUY_ALCISTA,212,-4.976638467204502,-0.5304465632822712,46.69811320754717,51.674751674751676
HYPER,HAMMER,BAJISTA,97,7.040855288277967,0.3606853002730141,61.855670103092784,54.81481481481482
HYPER,HAMMER,HORIZONTAL,64,17.424830349408026,1.3381480109543393,70.3125,52.887669650591974
HYPER,HAMMER,ALCISTA,97,-4.725473619708481,-0.41922276084111554,46.391752577319586,51.11722619702807
HYPER,HAMMER,MUY_ALCISTA,57,-6.060716587032381,-0.27662339240344336,45.614035087719294,51.674751674751676
HYPER,HANGING_MAN,MUY_BAJISTA,87,-12.539819687726371,-2.301766990343416,45.97701149425287,58.51683118197924
HYPER,HANGING_MAN,BAJISTA,108,-7.592592592592595,-0.2507480318553811,47.22222222222222,54.81481481481482
HYPER,HANGING_MAN,ALCISTA,64,6.695273802971933,1.3575212880086027,57.8125,51.11722619702807
HYPER,INVERTED_HAMMER,MUY_BAJISTA,25,-18.516831181979242,-1.6636961934540224,40.0,58.51683118197924
HYPER,INVERTED_HAMMER,HORIZONTAL,52,-4.810746573668894,-0.4636821139521934,48.07692307692308,52.887669650591974
HYPER,INVERTED_HAMMER,MUY_ALCISTA,90,-5.008085008085011,-1.135207690816695,46.666666666666664,51.674751674751676
HYPER,MORNING_STAR,MUY_BAJISTA,75,12.14983548468743,1.2275537340853584,70.66666666666667,58.51683118197924
HYPER,MORNING_STAR,HORIZONTAL,484,8.062743572548527,0.40336067327052666,60.9504132231405,52.887669650591974
HYPER,MORNING_STAR,MUY_ALCISTA,42,5.468105468105463,1.1828860030708852,57.14285714285714,51.674751674751676
HYPER,PIERCING_LINE,MUY_BAJISTA,33,-10.031982697130758,-1.5221231581121817,48.484848484848484,58.51683118197924
HYPER,PIERCING_LINE,BAJISTA,39,-11.225071225071225,-2.413732171978648,43.58974358974359,54.81481481481482
HYPER,PIERCING_LINE,HORIZONTAL,26,4.804638041715712,-0.004548707770390556,57.692307692307686,52.887669650591974
HYPER,SHOOTING_STAR,BAJISTA,50,7.185185185185183,0.49641727469921265,62.0,54.81481481481482
HYPER,SHOOTING_STAR,HORIZONTAL,58,-8.060083443695419,-1.0246045326813502,44.827586206896555,52.887669650591974
HYPER,SHOOTING_STAR,ALCISTA,71,9.44615408466207,0.7897114923321291,60.56338028169014,51.11722619702807
HYPER,SHOOTING_STAR,MUY_ALCISTA,84,-10.008085008085004,-1.4139404901415358,41.66666666666667,51.674751674751676
HYPER,THREE_BLACK_CROWS,MUY_BAJISTA,250,11.483168818020758,1.5212512745378557,70.0,58.51683118197924
HYPER,THREE_WHITE_SOLDIERS,HORIZONTAL,51,3.9750754474472387,-0.3474255940025106,56.86274509803921,52.887669650591974
HYPER,THREE_WHITE_SOLDIERS,ALCISTA,304,-5.064594618080697,-0.7753386324895242,46.05263157894737,51.11722619702807
HYPER,TWEEZER_BOTTOM,ALCISTA,110,-5.662680742482614,-0.7358255298932783,45.45454545454545,51.11722619702807
HYPER,TWEEZER_BOTTOM,MUY_ALCISTA,54,-10.934010934010935,-0.37368030982769396,40.74074074074074,51.674751674751676
HYPER,TWEEZER_TOP,MUY_BAJISTA,29,-3.3444173888757973,-1.0363067495337057,55.172413793103445,58.51683118197924
HYPER,TWEEZER_TOP,BAJISTA,104,-7.6994301994302035,-0.36409804812311325,47.11538461538461,54.81481481481482
HYPER,TWEEZER_TOP,HORIZONTAL,145,-8.060083443695419,-0.5797518864179427,44.827586206896555,52.887669650591974
HYPER,TWEEZER_TOP,MUY_ALCISTA,237,5.709214569974058,1.10144901695265,57.383966244725734,51.674751674751676
